Blog	four	looking	second	here	music	until	want	feature	wrong	series	re	wasn	service	needed	project	came	than	release	result	best	asked	much	life	worked	things	had	easy	possible	right	old	people	o	support	call	happy	inside	time	team	love	working	awesome	such	data	years	course	didn	internet	million	quite	open	city	future	san	say	take	ways	going	where	many	wants	photos	technology	being	rest	around	world	favorite	image	her	october	gone	am	original	tv	th	large	small	past	hours	experience	pick	via	company	states	its	always	found	really	research	major	also	play	sometimes	microsoft	set	sex	see	available	last	whole	community	read	recent	person	couple	d	continue	anything	into	link	line	us	ago	having	code	results	try	video	let	great	makes	tools	next	process	high	move	perfect	doing	could	start	system	haven	face	fact	should	hope	means	stuff	edition	email	ve	site	off	less	web	five	become	does	official	chance	worth	announced	above	told	work	interview	after	order	office	them	break	network	created	another	do	away	com	hand	thanks	board	night	comments	post	months	way	update	together	change	live	car	heard	write	product	use	remember	still	now	year	space	shows	care	browser	online	price	only	between	comes	these	media	food	thinking	real	early	using	business	aren	lot	trying	building	since	month	very	learned	family	takes	help	soon	actually	ceo	beyond	event	issue	reason	put	american	mobile	latest	pretty	during	x	close	won	probably	both	else	look	while	used	user	game	popular	run	step	within	doesn	e	go	facebook	michael	click	stage	started	point	links	including	special	keep	exactly	need	able	talk	based	she	written	well	page	twitter	home	he	friends	amp	companies	likely	even	ever	never	tell	give	amazing	answer	before	personal	better	weeks	went	side	mean	content	isn	moving	features	matter	seen	don	m	stop	bar	bad	said	against	appeared	three	make	left	just	human	yes	yet	deal	track	down	weekend	show	finally	did	making	may	man	maybe	nbsp	group	interesting	morning	thing	think	fast	little	anyone	were	especially	enough	black	get	nearly	behind	reading	across	according	mark	those	sound	then	different	pay	same	running	money	either	users	videos	general	again	important	u	public	search	two	share	needs	already	through	good	everyone	house	hard	idea	done	least	part	built	build	tool	most	services	find	please	simply	create	understand	talking	fun	itself	source	big	bit	google	often	back	decision	forward	single	later	control	ll	day	text	value	almost	thought	add	happens	buy	minutes	under	every	school	voice	would	phone	must	me	times	end	over	writing	each	got	free	days	key	top	too	took	though	watch	amazon	report	full	however	news	quickly	several	social	everything	security	why	head	hear	check	no	faster	water	iphone	today	information	name	software	turn	place	coming	released	any	sure	state	review	outside	come	case	myself	someone	week	without	seems	blog	oh	there	longer	program	far	list	design	version	problem	short	might	wouldn	number	feel	says	story	kind	added	nothing	his	hit	him	wrote	art	recently	c	due	questions	customers	question	long	called	once	issues	apple	app	few	women	something	six	instead	looks	our	york	their	which	who	class	local	view	stories	job	gets	other	know	press	because	lead	getting	own	apps	made	whether	book
Steve Pavlina's Personal Development Blog	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	3	0	0	2	0	0	0	0	7	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	1	0	0	10	0	2	1	2	0	1	2	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	2	2	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	0	0	1	0	2	1	0	0	3	1	0	0	0	0	0	0	0	3	0	1	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	2	1	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	5	2	0	1	0	0	1	0	0	1	0
WIL WHEATON dot NET	5	4	2	16	1	8	8	1	2	5	19	7	0	2	2	5	14	1	0	9	4	13	13	3	10	19	4	0	15	8	9	2	1	7	2	5	41	2	17	9	11	2	0	13	4	25	1	0	1	3	6	1	0	10	10	1	16	33	6	0	0	0	4	3	18	11	4	0	5	0	2	5	1	0	3	2	3	10	2	4	5	0	6	0	4	14	1	29	0	3	11	13	1	0	9	0	12	1	14	4	1	1	0	1	8	25	1	5	34	1	2	14	4	0	0	0	1	2	8	10	0	0	14	2	1	1	0	0	15	0	1	2	0	2	5	1	1	2	0	0	14	0	4	1	0	5	1	1	3	3	1	1	0	5	12	2	8	2	4	36	1	1	2	3	19	7	5	10	1	2	3	0	4	2	19	0	5	0	4	5	0	2	0	2	0	4	12	5	2	2	4	0	1	0	6	5	3	8	0	1	1	2	2	1	1	1	8	5	5	4	0	18	2	5	0	6	1	2	0	0	0	0	2	11	0	0	0	8	4	0	1	1	7	2	3	9	15	12	0	13	0	0	2	2	3	0	12	0	0	1	23	6	3	0	1	0	4	3	7	3	10	2	15	3	8	0	7	4	50	3	0	0	2	7	7	6	5	3	5	0	18	0	6	3	15	4	2	0	0	2	0	1	1	11	38	2	5	1	57	5	0	4	16	8	47	2	1	0	2	0	8	4	11	1	12	3	5	2	10	6	0	0	1	6	8	3	20	6	32	5	6	2	21	1	6	3	9	0	0	10	1	6	5	1	11	2	0	0	0	0	1	8	3	0	0	0	12	5	3	0	7	6	7	1	6	4	4	2	4	1	0	0	9	0	3	1	1	1	3	2	4	0	1	9	7	0	0	28	1	2	3	8	2	12	14	1	1	3	10	1	2	0	7	3	5	3	2	11	0	2	68	4	6	23	3	3	17	1	7	0	0	11	11	13	2	0	0	5	1	1	1	4	0	6	4	5	7	5	0	9	2	2	0	3	1	1	0	3	9	3	2	7	6	1	1	5	4	0	13	8	7	8	0	4	9	53	1	0	3	2	0	2	2	4	0	8	1	8	2	6	3	4	4	19	5	11	5	1	0	0	0	0	0	1	8	8	6	0	0	0	17	0	12	2	4	2	24	0	10	10	19	0	0	0	1	1	1	12	26	0	24	0	6	4	0	8	0	4
Online Marketing Report	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
Creating Passionate Users	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	4	0	0	2	1	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	2	0	0	0	0	2	0	0	0	1	0	0	2	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5	1	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
Bloggers Blog	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
Joystiq RSS Feed	0	0	2	0	0	0	0	1	0	4	0	0	0	0	1	1	1	4	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	3	0	0	2	0	1	1	0	1	0	0	0	2	1	0	10	0	1	0	0	0	0	0	0	4	2	0	0	1	1	1	0	0	0	1	0	3	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	2	1	1	1	0	0	0	0	0	0	0	5	2	0	0	1	3	0	0	1	2	1	0	1	4	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	3	1	0	4	0	1	0	0	0	3	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	4	1	1	1	1	0	1	3	0	0	0	0	0	9	1	0	0	2	2	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	5	0	2	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	3	2	0	0	1	1	1	0	0	0	0	0	0	0	1	3	0	2	0	0	1	0	0	1	0	0	0	2	1	1	4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	2	0	0	0	3	0	1	1	0	1	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	2	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	1	0	0
Derek Powazek	0	1	0	6	0	0	1	0	1	0	7	1	0	0	0	1	2	0	0	1	0	1	5	1	1	3	2	1	4	2	2	0	0	1	4	0	4	0	1	0	1	0	0	5	1	1	1	0	0	1	0	0	2	3	1	1	4	0	1	0	2	0	0	1	1	3	0	0	9	0	2	3	0	0	0	0	2	0	0	0	0	0	1	0	1	4	1	2	0	0	2	0	0	0	0	0	3	1	7	0	3	0	0	0	4	2	4	1	4	2	0	4	2	0	0	0	1	0	1	5	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	2	0	1	0	0	11	2	1	1	1	0	0	0	0	1	0	1	0	0	3	0	4	0	0	2	0	1	0	3	7	1	1	1	0	0	2	0	3	2	0	1	1	1	2	1	0	3	1	0	0	4	10	4	0	0	0	0	2	0	1	4	1	2	2	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	8	0	1	0	0	0	0	0	0	1	0	1	2	1	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	2	0	1	1	1	3	0	7	0	2	1	1	0	5	2	0	0	0	1	1	3	0	0	2	1	1	0	0	2	3	0	0	1	0	0	1	0	1	4	12	0	0	3	3	1	0	4	1	1	11	0	1	1	1	0	2	0	3	0	4	0	0	1	1	0	0	0	2	4	4	1	7	0	2	2	5	1	6	0	0	4	0	0	0	1	0	7	0	0	3	0	3	0	0	0	0	2	0	0	0	0	9	1	0	1	1	1	1	0	3	0	1	0	2	0	0	0	2	0	1	0	1	2	0	1	0	2	0	1	0	0	2	2	0	1	1	1	0	4	2	0	0	1	1	0	1	1	1	1	3	0	0	0	0	1	15	1	0	5	2	1	1	0	4	1	2	2	3	0	1	0	0	1	0	1	0	0	0	2	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	3	0	0	0	3	0	0	1	1	7	0	0	0	0	1	0	0	1	1	0	1	5	0	3	1	0	0	3	1	2	1	0	0	0	0	1	0	0	1	0	2	2	0	0	5	0	8	2	0	0	3	0	4	2	1	0	0	0	1	1	2	3	6	0	3	0	2	2	0	2	0	6
Download Squad	1	2	1	9	9	3	7	13	3	1	33	0	8	0	6	3	8	18	2	6	1	6	1	2	2	4	4	1	10	0	4	9	21	6	0	0	19	4	1	3	1	5	1	4	4	0	8	0	3	4	0	2	1	3	6	3	6	8	6	0	0	2	10	2	7	2	1	5	0	1	0	0	2	1	4	1	3	2	0	4	0	3	2	2	31	2	2	3	0	1	35	1	0	13	11	0	51	23	6	4	1	4	2	0	1	3	6	3	16	1	3	5	1	3	8	2	2	8	2	2	1	0	11	5	0	1	0	1	4	3	8	1	0	2	11	1	3	2	1	46	12	2	4	1	21	2	0	5	5	0	3	1	3	1	6	0	20	1	5	9	6	1	1	2	13	4	7	1	4	0	0	42	4	12	7	8	1	5	16	0	0	0	0	56	0	19	67	5	2	2	0	9	1	3	13	2	2	8	0	0	2	4	4	16	1	2	6	1	0	8	8	5	0	0	1	4	4	4	0	3	0	2	0	0	1	13	5	2	4	7	0	2	8	4	4	4	14	1	9	1	1	4	3	1	4	2	7	8	0	6	0	3	3	0	5	1	3	4	3	7	0	6	0	0	13	11	2	1	0	3	1	0	1	13	4	2	0	0	3	0	11	2	3	2	0	1	0	3	3	4	14	3	4	4	1	0	7	2	1	3	41	4	11	6	24	0	3	11	1	1	5	0	2	9	1	3	11	0	1	160	0	8	0	1	1	1	6	5	4	2	3	0	16	2	2	6	4	0	0	8	1	6	2	1	3	7	0	3	11	3	2	2	6	1	2	13	7	2	3	8	7	2	1	1	2	2	4	4	2	7	11	6	10	5	4	41	7	5	0	0	1	2	5	1	8	36	0	5	0	2	2	4	2	8	2	2	1	4	2	11	0	2	0	3	2	0	1	7	3	2	1	2	0	18	0	1	3	7	4	3	6	7	0	15	1	4	1	2	5	3	2	2	2	1	1	2	6	0	13	8	4	0	7	7	1	4	6	1	1	3	13	12	6	0	0	0	1	1	1	3	7	4	2	2	1	13	4	4	4	6	1	21	0	0	3	2	5	2	1	1	1	6	1	0	4	1	0	1	3	2	3	1	0	0	3	7	7	2	15	49	6	0	7	0	2	7	45	0	8	36	7	0	2	3	0	0	10	10	6	1	3	0	2	4	12	7	3	0
Jeremy Zawodny's blog	1	2	3	6	0	4	3	0	5	1	5	2	2	2	0	1	4	1	2	2	4	4	1	3	5	17	0	2	5	0	6	0	0	1	2	1	23	3	0	4	2	3	4	8	3	11	2	0	1	0	0	2	3	6	3	0	8	8	3	2	5	0	4	1	3	1	2	0	1	0	1	4	1	0	0	2	5	0	0	1	1	1	2	1	0	1	1	12	0	0	7	0	0	1	4	0	10	2	2	1	0	3	2	2	2	13	0	2	9	0	14	28	6	5	1	1	4	0	0	2	4	2	5	0	6	0	1	2	13	1	1	1	1	3	6	0	1	2	0	3	7	1	5	1	0	0	0	3	0	2	0	0	3	2	6	0	11	0	1	7	0	4	0	4	6	4	0	3	2	2	2	11	2	0	13	0	2	1	0	0	0	2	1	10	3	4	5	2	0	0	0	0	0	0	7	2	0	1	1	0	1	1	0	4	4	0	7	3	0	7	0	16	2	0	0	5	1	1	0	1	0	2	1	2	0	0	0	1	2	3	0	0	6	4	1	0	6	1	0	0	0	1	1	0	1	0	9	0	0	0	0	1	4	0	0	0	2	2	5	0	3	0	2	1	7	0	1	1	9	0	0	0	2	4	3	3	0	3	0	0	12	0	2	2	6	1	1	1	0	1	0	1	2	1	6	1	0	0	2	1	3	1	4	4	9	0	0	2	0	0	25	0	0	1	7	1	5	0	3	0	4	3	0	3	3	3	2	2	24	2	2	0	16	0	4	4	8	0	0	2	0	16	1	0	3	1	0	3	2	2	0	0	4	0	2	1	6	0	0	1	2	6	4	0	5	2	0	0	0	0	1	0	8	0	2	3	2	0	1	0	3	1	0	0	11	0	2	16	0	3	1	2	2	8	8	0	7	0	0	0	2	3	4	0	1	0	0	8	0	3	17	3	5	9	0	5	8	1	0	0	4	5	6	1	1	0	0	3	3	0	1	3	1	2	0	5	1	1	2	5	2	13	0	3	1	3	0	4	1	3	1	2	3	0	0	2	1	1	3	0	4	1	3	3	2	19	1	0	2	1	0	0	2	3	2	1	2	1	0	0	0	1	0	10	0	4	1	0	2	0	1	1	2	0	10	2	1	0	0	0	13	0	7	0	3	0	22	0	13	9	5	0	1	1	1	1	1	8	5	1	6	4	6	0	0	7	0	1
@ProBlogger	2	0	1	1	0	0	2	0	0	0	3	0	0	0	4	0	2	0	0	2	0	3	0	1	0	1	1	0	1	2	2	0	1	0	0	0	6	0	1	0	2	1	0	4	0	0	0	0	0	0	1	0	0	0	0	6	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	3	0	1	4	0	1	0	1	0	0	4	0	0	1	0	0	0	1	0	1	0	0	1	2	3	0	1	0	1	1	0	0	0	0	0	1	3	0	0	0	0	3	8	0	1	0	4	1	0	1	1	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	7	0	5	2	0	0	0	0	1	1	4	0	0	0	0	0	0	2	1	2	0	1	3	1	1	0	0	0	1	0	2	0	1	0	5	0	4	1	0	3	7	0	1	0	4	4	2	4	0	0	0	1	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	2	0	0	0	2	4	0	0	1	1	0	1	0	0	1	1	4	0	0	3	0	1	1	4	3	1	1	0	0	2	0	2	0	0	0	1	1	0	1	2	0	0	0	0	1	11	2	0	1	0	2	2	5	0	0	0	0	0	0	0	4	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	1	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	1	2	0	1	2	0	4	0	0	2	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	1	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	3	2	0	2	0	0	1	0	0	2	2	0	1	0	2	0	2	1	0	0	1	0	0	2	1	0	0	0	4	0	0	8	0	0	0	2	0	0	0	3	1	1	0	2	0	0	0	3	0	1	0	0	0	2	0	1	1	0	0	46	0	3	1	3	0	3	1	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	4	0	1	0	4	0	4	1	3	0	0	0	0	0	0	2	4	0	1	0	4	0	0	0	0	2
Captain's Quarters	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	3	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	2	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	3	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	6	1	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	6	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
